C1	C2	C3	C4
1	70,548	10,844	1,770
2	72,436	12,545	1,868
3	74,185	14,376	2,004
4	75,002	16,155	2,118
5	75,891	18,264	2,236
6	76,288	20,659	2,345
7	76,936	22,401	2,443
8	77,150	24,734	2,592
9	77,658	27,323	2,663
10	78,064	29,745	2,715
11	78,497	32,945	2,744
12	78,824	36,117	2,788
13	79,251	39,002	2,835
14	79,824	41,625	2,870
15	80,026	44,462	2,912
16	80,151	47,204	2,943
17	80,270	49,856	2,981
18	80,409	52,045	3,012
19	80,552	53,726	3,042
20	80,651	55,404	3,070
21	80,695	57,065	3,097
22	80,735	58,600	3,119
23	80,754	59,897	3,136
24	80,778	61,475	3,158
25	80,793	62,793	3,169
26	80,813	64,111	3,176
27	80,824	65,541	3,189
28	80,844	66,911	3,199
29	80,860	67,749	3,213
30	80,881	68,679	3,226
31	80,894	69,601	3,237
32	80,928	70,420	3,245
33	80,967	71,150	3,248
34	81,008	71,740	3,255
35	81,054	72,244	3,261
36	81,093	72,703	3,270
37	81,171	73,159	3,277
38	81,218	73,650	3,281
39	81,285	74,051	3,287
40	81,340	74,588	3,292
41	81,394	74,971	3,295
