1	2	Recovered	3
1	13	11	1
2	18	11	2
3	38	11	2
4	57	11	2
5	100	12	2
6	130	12	3
7	191	12	3
8	212	12	4
9	285	12	4
10	423	12	7
11	613	12	9
12	949	12	16
13	1,126	12	19
14	1,412	12	25
15	1,784	12	33
16	2,281	12	48
17	2,876	12	61
18	3,661	12	79
19	4,499	12	91
20	5,423	12	127
21	6,633	12	148
22	7,730	602	175
23	9,134	1,000	244
24	10,995	1,300	375
25	12,612	1,587	450
26	14,459	1,587	562
27	16,689	2,200	674
28	19,856	2,200	860
29	22,302	3,281	1,100
30  25233   3900    1331
31  29155   4948    1696
32  32964   5700    1995
33  37575   6624    2314
34  40174   7132    2606
