C1	C2	C3	C4
1	20	0	
2	79	0	0
3	150	0	0.5
4	229	1	0.5
5	322	1	1
6	400	3	22
7	650	45	21.5
8	888	46	2.5
9	1,128	50	18.5
10	1,694	83	49.5
11	2,036	149	38.5
12	2,502	160	63.5
13	3,089	276	127
14	3,858	414	123.5
15	4,636	523	87.5
16	5,883	589	49.5
17	7,375	622	67.5
18	9,172	724	191
19	10,149	1,004	160.5
20	12,462	1,045	127
21	15,113	1,258	197
22	17,660	1,439	354
23	21,157	1,966	448
24	24,747	2,335	391.5
25	27,980	2,749	303
26	31,506	2,941	638
27	35,713	4,025	749.5
28	41,035	4,440	552
29	47,021	5,129	
30	53,578	6,072	
31	59,138	7,024	
32	63,927	7,432	
			
