C1	C2	C3	C4
1	4	2	1
2	10	2	1
3	14	2	1
4	26	2	1
5	34	2	1
6	59	2	1
7	85	2	1
8	121	2	1
9	166	2	2
10	228	3	2
11	282	4	3
12	401	30	8
13	525	30	10
14	674	32	17
15	1,231	32	30
16	1,695	135	36
17	2,277	183	55
18	3,146	189	86
19	5,232	193	133
20	6,391	517	196
21	7,988	517	294
22	9,942	530	342
23	11,826	1,028	533
24	14,769	1,081	638
25	18,077	1,107	833
26	21,571	1,588	1,093
27	25,374	2,125	1,381
28	29,909	2,575	1,813
29	35,480	3,355	2,342
30	42,058	3,794	2,991
31  50,105  5367    3,650
32  57,786  7015    4,368
33  65,719  9357    5,138
34  73,232  12285   5,982
35  80,110  14709   6,803
36  87,956  16780   7,716
37  95923   19259   8464
