1	2	Recovered	Deaths
1	15	6	0
2	15	6	0
3	19	6	0
4	24	7	1
5	42	9	2
6	57	9	6
7	85	9	9
8	111	9	11
9	175	9	11
10	252	15	14
11	353	15	19
12	497	15	21
13	645	15	26
14	936	15	31
15	1,205	15	37
16	1,598	15	41
17	2,163	16	49
18	2,825	49	56
19	3,501	60	62
20	4,373	75	75
21	5,662	107	96
22	8,074	107	122
23	12,018	109	174
24	17,439	147	229
25	23,710	171	296
26	32,341	178	408
27	42,749	296	519
28	52,685	379	681
29	64,916	394	906
30	81,964	1,864	1,159
31	100,997	2,465	1,591
32  121,099 3231    2038
33  141701  4559    2462
34  162161  5506    2969
35  183572  5506    3668
